"seq","baseDate","sido","firstCnt","secondCnt","totalFirstCnt","totalSecondCnt","accumulatedFirstCnt","accumulatedSecondCnt"
"20210311_강원도","2021-03-11 00:00:00",강원도,2627,,14790,,12163,
"20210311_경기도","2021-03-11 00:00:00",경기도,9961,,105876,,95915,
"20210311_경상남도","2021-03-11 00:00:00",경상남도,2036,,43848,,41812,
"20210311_경상북도","2021-03-11 00:00:00",경상북도,2365,,28435,,26070,
"20210311_광주광역시","2021-03-11 00:00:00",광주광역시,2403,,22683,,20280,
"20210311_대구광역시","2021-03-11 00:00:00",대구광역시,2310,,25411,,23101,
"20210311_대전광역시","2021-03-11 00:00:00",대전광역시,1952,,14525,,12573,
"20210311_부산광역시","2021-03-11 00:00:00",부산광역시,3311,,40045,,36734,
"20210311_서울특별시","2021-03-11 00:00:00",서울특별시,12595,,73827,,61232,
"20210311_세종특별자치시","2021-03-11 00:00:00",세종특별자치시,66,,860,,794,
"20210311_울산광역시","2021-03-11 00:00:00",울산광역시,434,,9270,,8836,
"20210311_인천광역시","2021-03-11 00:00:00",인천광역시,1791,,25670,,23879,
"20210311_전국","2021-03-11 00:00:00",전국,51100,,500635,,449535,
"20210311_전라남도","2021-03-11 00:00:00",전라남도,2718,,25748,,23030,
"20210311_전라북도","2021-03-11 00:00:00",전라북도,2485,,25169,,22684,
"20210311_제주특별자치도","2021-03-11 00:00:00",제주특별자치도,500,,4830,,4330,
"20210311_충청남도","2021-03-11 00:00:00",충청남도,2379,,24274,,21895,
"20210311_충청북도","2021-03-11 00:00:00",충청북도,1167,,15374,,14207,
"20210312_강원도","2021-03-12 00:00:00",강원도,2314,,17144,,14830,
"20210312_경기도","2021-03-12 00:00:00",경기도,9516,,116034,,106518,
"20210312_경상남도","2021-03-12 00:00:00",경상남도,1452,,45363,,43911,
"20210312_경상북도","2021-03-12 00:00:00",경상북도,2158,,30597,,28439,
"20210312_광주광역시","2021-03-12 00:00:00",광주광역시,1439,,24243,,22804,
"20210312_대구광역시","2021-03-12 00:00:00",대구광역시,1834,,27334,,25500,
"20210312_대전광역시","2021-03-12 00:00:00",대전광역시,1482,,16010,,14528,
"20210312_부산광역시","2021-03-12 00:00:00",부산광역시,2620,,42779,,40159,
"20210312_서울특별시","2021-03-12 00:00:00",서울특별시,10972,,85864,,74892,
"20210312_세종특별자치시","2021-03-12 00:00:00",세종특별자치시,201,,1061,,860,
"20210312_울산광역시","2021-03-12 00:00:00",울산광역시,429,,9699,,9270,
"20210312_인천광역시","2021-03-12 00:00:00",인천광역시,2294,,28548,,26254,
